Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;ar;Beregningsmetode;Trafikkmengde;Konfidensintervall start;Konfidensintervall slutt;Dekningsgrad (%);Antall enheter total;Antall enheter inkludert;Antall enheter ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);Felt;< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
25694V2370584;Karmoytunnelen Hellevik;FV554 S1D1 m634;2020-01-01T00:00+01:00;2021-01-01T00:00+01:00;2020;Gjennomsnitt (enhet = dogn);131;131;131;100;366;366;0;0;100;1;127;5;2;2;0;0;0;0
25694V2370584;Karmoytunnelen Hellevik;FV554 S1D1 m634;2020-01-01T00:00+01:00;2021-01-01T00:00+01:00;2020;Gjennomsnitt (enhet = dogn);2105;2105;2105;100;366;366;0;0;100;2;1862;243;90;88;15;50;50;0
25694V2370584;Karmoytunnelen Hellevik;FV554 S1D1 m634;2020-01-01T00:00+01:00;2021-01-01T00:00+01:00;2020;Gjennomsnitt (enhet = dogn);1953;1953;1953;100;366;366;0;0;100;3;1711;242;89;90;15;47;47;0
25694V2370584;Karmoytunnelen Hellevik;FV554 S1D1 m634;2020-01-01T00:00+01:00;2021-01-01T00:00+01:00;2020;Gjennomsnitt (enhet = dogn);2106;2106;2106;100;366;366;0;0;100;Totalt i retning Karmoy;1863;243;90;88;15;50;50;0
25694V2370584;Karmoytunnelen Hellevik;FV554 S1D1 m634;2020-01-01T00:00+01:00;2021-01-01T00:00+01:00;2020;Gjennomsnitt (enhet = dogn);2084;2084;2084;100;366;366;0;0;100;Totalt i retning Raglamyr;1837;247;91;92;16;48;48;0
25694V2370584;Karmoytunnelen Hellevik;FV554 S1D1 m634;2020-01-01T00:00+01:00;2021-01-01T00:00+01:00;2020;Gjennomsnitt (enhet = dogn);4190;4190;4190;100;366;366;0;0;100;Totalt;3700;490;181;180;31;98;98;0
25694V2370584;Karmoytunnelen Hellevik;FV554 S1D1 m634;2021-01-01T00:00+01:00;2022-01-01T00:00+01:00;2021;Gjennomsnitt (enhet = dogn);135;135;135;100;365;365;0;0;100;1;130;4;2;2;0;0;0;0
25694V2370584;Karmoytunnelen Hellevik;FV554 S1D1 m634;2021-01-01T00:00+01:00;2022-01-01T00:00+01:00;2021;Gjennomsnitt (enhet = dogn);2229;2229;2229;100;365;365;0;0;100;2;1979;250;91;93;17;49;49;0
25694V2370584;Karmoytunnelen Hellevik;FV554 S1D1 m634;2021-01-01T00:00+01:00;2022-01-01T00:00+01:00;2021;Gjennomsnitt (enhet = dogn);2059;2059;2059;100;365;365;0;1;100;3;1811;248;90;94;16;47;47;0
25694V2370584;Karmoytunnelen Hellevik;FV554 S1D1 m634;2021-01-01T00:00+01:00;2022-01-01T00:00+01:00;2021;Gjennomsnitt (enhet = dogn);2230;2230;2230;100;365;365;0;1;100;Totalt i retning Karmoy;1979;250;91;93;17;49;49;0
25694V2370584;Karmoytunnelen Hellevik;FV554 S1D1 m634;2021-01-01T00:00+01:00;2022-01-01T00:00+01:00;2021;Gjennomsnitt (enhet = dogn);2193;2193;2193;100;365;365;0;0;100;Totalt i retning Raglamyr;1941;252;92;96;16;48;48;0
25694V2370584;Karmoytunnelen Hellevik;FV554 S1D1 m634;2021-01-01T00:00+01:00;2022-01-01T00:00+01:00;2021;Gjennomsnitt (enhet = dogn);4423;4423;4423;100;365;365;0;1;100;Totalt;3920;502;183;189;33;97;97;0
25694V2370584;Karmoytunnelen Hellevik;FV554 S1D1 m634;2022-01-01T00:00+01:00;2023-01-01T00:00+01:00;2022;Gjennomsnitt (enhet = dogn);146;146;146;100;365;365;0;0;100;1;142;4;2;2;0;0;0;0
25694V2370584;Karmoytunnelen Hellevik;FV554 S1D1 m634;2022-01-01T00:00+01:00;2023-01-01T00:00+01:00;2022;Gjennomsnitt (enhet = dogn);2447;2447;2447;100;365;365;0;1;100;2;2192;255;94;93;19;48;48;0
25694V2370584;Karmoytunnelen Hellevik;FV554 S1D1 m634;2022-01-01T00:00+01:00;2023-01-01T00:00+01:00;2022;Gjennomsnitt (enhet = dogn);2247;2247;2247;100;365;365;0;0;100;3;1996;251;94;92;18;46;46;0
25694V2370584;Karmoytunnelen Hellevik;FV554 S1D1 m634;2022-01-01T00:00+01:00;2023-01-01T00:00+01:00;2022;Gjennomsnitt (enhet = dogn);2447;2447;2447;100;365;365;0;0;100;Totalt i retning Karmoy;2192;255;94;93;19;48;48;0
25694V2370584;Karmoytunnelen Hellevik;FV554 S1D1 m634;2022-01-01T00:00+01:00;2023-01-01T00:00+01:00;2022;Gjennomsnitt (enhet = dogn);2393;2393;2393;100;365;365;0;0;100;Totalt i retning Raglamyr;2138;255;96;94;18;47;47;0
25694V2370584;Karmoytunnelen Hellevik;FV554 S1D1 m634;2022-01-01T00:00+01:00;2023-01-01T00:00+01:00;2022;Gjennomsnitt (enhet = dogn);4840;4840;4840;100;365;365;0;1;100;Totalt;4329;510;191;187;37;95;94;1
25694V2370584;Karmoytunnelen Hellevik;FV554 S1D1 m634;2023-01-01T00:00+01:00;2024-01-01T00:00+01:00;2023;Gjennomsnitt (enhet = dogn);173;173;173;100;365;365;0;0;100;1;168;5;2;2;0;0;0;0
25694V2370584;Karmoytunnelen Hellevik;FV554 S1D1 m634;2023-01-01T00:00+01:00;2024-01-01T00:00+01:00;2023;Gjennomsnitt (enhet = dogn);2636;2636;2636;100;365;365;0;0;100;2;2362;274;103;101;22;49;48;1
25694V2370584;Karmoytunnelen Hellevik;FV554 S1D1 m634;2023-01-01T00:00+01:00;2024-01-01T00:00+01:00;2023;Gjennomsnitt (enhet = dogn);2398;2398;2398;100;365;365;0;0;100;3;2130;268;100;101;19;48;47;1
25694V2370584;Karmoytunnelen Hellevik;FV554 S1D1 m634;2023-01-01T00:00+01:00;2024-01-01T00:00+01:00;2023;Gjennomsnitt (enhet = dogn);2637;2637;2637;100;365;365;0;1;100;Totalt i retning Karmoy;2362;274;103;101;22;49;48;1
25694V2370584;Karmoytunnelen Hellevik;FV554 S1D1 m634;2023-01-01T00:00+01:00;2024-01-01T00:00+01:00;2023;Gjennomsnitt (enhet = dogn);2571;2571;2571;100;365;365;0;0;100;Totalt i retning Raglamyr;2298;273;103;102;20;49;48;1
25694V2370584;Karmoytunnelen Hellevik;FV554 S1D1 m634;2023-01-01T00:00+01:00;2024-01-01T00:00+01:00;2023;Gjennomsnitt (enhet = dogn);5208;5208;5208;100;365;365;0;1;100;Totalt;4660;547;205;204;41;97;95;2
30193V2370595;Karmoytunnelen Mjasund;FV553 S1D1 m2782;2020-01-01T00:00+01:00;2021-01-01T00:00+01:00;2020;Gjennomsnitt (enhet = dogn);1996;1996;1996;100;366;366;0;0;100;1;1648;348;131;117;22;79;79;0
30193V2370595;Karmoytunnelen Mjasund;FV553 S1D1 m2782;2020-01-01T00:00+01:00;2021-01-01T00:00+01:00;2020;Gjennomsnitt (enhet = dogn);143;143;143;100;366;366;0;0;100;2;135;8;3;3;0;1;1;0
30193V2370595;Karmoytunnelen Mjasund;FV553 S1D1 m2782;2020-01-01T00:00+01:00;2021-01-01T00:00+01:00;2020;Gjennomsnitt (enhet = dogn);1848;1848;1848;100;366;366;0;0;100;4;1538;310;98;110;21;82;82;0
30193V2370595;Karmoytunnelen Mjasund;FV553 S1D1 m2782;2020-01-01T00:00+01:00;2021-01-01T00:00+01:00;2020;Gjennomsnitt (enhet = dogn);1997;1997;1997;100;366;366;0;0;100;Totalt i retning Karmoy;1649;348;131;117;22;79;79;0
30193V2370595;Karmoytunnelen Mjasund;FV553 S1D1 m2782;2020-01-01T00:00+01:00;2021-01-01T00:00+01:00;2020;Gjennomsnitt (enhet = dogn);1991;1991;1991;100;366;366;0;0;100;Totalt i retning Mjasund;1673;318;101;112;21;83;83;0
30193V2370595;Karmoytunnelen Mjasund;FV553 S1D1 m2782;2020-01-01T00:00+01:00;2021-01-01T00:00+01:00;2020;Gjennomsnitt (enhet = dogn);3988;3988;3988;100;366;366;0;1;100;Totalt;3321;666;232;229;43;161;161;0
30193V2370595;Karmoytunnelen Mjasund;FV553 S1D1 m2782;2021-01-01T00:00+01:00;2022-01-01T00:00+01:00;2021;Gjennomsnitt (enhet = dogn);2250;2250;2250;100;365;365;0;0;100;1;1871;379;144;130;22;83;83;0
30193V2370595;Karmoytunnelen Mjasund;FV553 S1D1 m2782;2021-01-01T00:00+01:00;2022-01-01T00:00+01:00;2021;Gjennomsnitt (enhet = dogn);171;171;171;100;365;365;0;0;100;2;163;9;4;3;1;1;1;0
30193V2370595;Karmoytunnelen Mjasund;FV553 S1D1 m2782;2021-01-01T00:00+01:00;2022-01-01T00:00+01:00;2021;Gjennomsnitt (enhet = dogn);2081;2081;2081;100;365;365;0;1;100;4;1747;334;108;120;22;84;84;0
30193V2370595;Karmoytunnelen Mjasund;FV553 S1D1 m2782;2021-01-01T00:00+01:00;2022-01-01T00:00+01:00;2021;Gjennomsnitt (enhet = dogn);2251;2251;2251;100;365;365;0;1;100;Totalt i retning Karmoy;1871;379;144;130;22;83;83;0
30193V2370595;Karmoytunnelen Mjasund;FV553 S1D1 m2782;2021-01-01T00:00+01:00;2022-01-01T00:00+01:00;2021;Gjennomsnitt (enhet = dogn);2251;2251;2251;100;365;365;0;0;100;Totalt i retning Mjasund;1909;342;112;123;22;85;85;0
30193V2370595;Karmoytunnelen Mjasund;FV553 S1D1 m2782;2021-01-01T00:00+01:00;2022-01-01T00:00+01:00;2021;Gjennomsnitt (enhet = dogn);4502;4502;4502;100;365;365;0;1;100;Totalt;3780;721;256;253;44;168;168;0
30193V2370595;Karmoytunnelen Mjasund;FV553 S1D1 m2782;2022-01-01T00:00+01:00;2023-01-01T00:00+01:00;2022;Gjennomsnitt (enhet = dogn);2603;2603;2603;100;365;365;0;1;100;1;2179;423;170;140;25;88;87;1
30193V2370595;Karmoytunnelen Mjasund;FV553 S1D1 m2782;2022-01-01T00:00+01:00;2023-01-01T00:00+01:00;2022;Gjennomsnitt (enhet = dogn);212;212;212;100;365;365;0;1;99,5;2;201;10;5;4;1;1;1;0
30193V2370595;Karmoytunnelen Mjasund;FV553 S1D1 m2782;2022-01-01T00:00+01:00;2023-01-01T00:00+01:00;2022;Gjennomsnitt (enhet = dogn);2384;2384;2384;100;365;365;0;0;100;4;2020;364;122;128;26;89;88;1
30193V2370595;Karmoytunnelen Mjasund;FV553 S1D1 m2782;2022-01-01T00:00+01:00;2023-01-01T00:00+01:00;2022;Gjennomsnitt (enhet = dogn);2603;2603;2603;100;365;365;0;0;100;Totalt i retning Karmoy;2180;423;170;140;25;88;87;1
30193V2370595;Karmoytunnelen Mjasund;FV553 S1D1 m2782;2022-01-01T00:00+01:00;2023-01-01T00:00+01:00;2022;Gjennomsnitt (enhet = dogn);2595;2595;2595;100;365;365;0;0;100;Totalt i retning Mjasund;2221;374;126;132;26;90;89;1
30193V2370595;Karmoytunnelen Mjasund;FV553 S1D1 m2782;2022-01-01T00:00+01:00;2023-01-01T00:00+01:00;2022;Gjennomsnitt (enhet = dogn);5198;5198;5198;100;365;365;0;0;100;Totalt;4400;797;297;272;52;177;176;1
30193V2370595;Karmoytunnelen Mjasund;FV553 S1D1 m2782;2023-01-01T00:00+01:00;2024-01-01T00:00+01:00;2023;Gjennomsnitt (enhet = dogn);2853;2853;2853;100;365;365;0;0;100;1;2402;451;182;149;31;90;89;1
30193V2370595;Karmoytunnelen Mjasund;FV553 S1D1 m2782;2023-01-01T00:00+01:00;2024-01-01T00:00+01:00;2023;Gjennomsnitt (enhet = dogn);253;253;253;100;365;365;0;0;100;2;242;12;5;4;1;1;1;0
30193V2370595;Karmoytunnelen Mjasund;FV553 S1D1 m2782;2023-01-01T00:00+01:00;2024-01-01T00:00+01:00;2023;Gjennomsnitt (enhet = dogn);2601;2601;2601;100;365;365;0;0;100;4;2208;393;133;139;31;89;88;1
30193V2370595;Karmoytunnelen Mjasund;FV553 S1D1 m2782;2023-01-01T00:00+01:00;2024-01-01T00:00+01:00;2023;Gjennomsnitt (enhet = dogn);2854;2854;2854;100;365;365;0;0;100;Totalt i retning Karmoy;2403;451;182;149;31;90;89;1
30193V2370595;Karmoytunnelen Mjasund;FV553 S1D1 m2782;2023-01-01T00:00+01:00;2024-01-01T00:00+01:00;2023;Gjennomsnitt (enhet = dogn);2853;2853;2853;100;365;365;0;0;100;Totalt i retning Mjasund;2449;404;138;143;32;91;90;1
30193V2370595;Karmoytunnelen Mjasund;FV553 S1D1 m2782;2023-01-01T00:00+01:00;2024-01-01T00:00+01:00;2023;Gjennomsnitt (enhet = dogn);5707;5707;5707;100;365;365;0;0;100;Totalt;4851;855;320;292;63;181;179;2
42954V320585;Grinde nord;EV39 S91D1 m2970;2020-01-01T00:00+01:00;2021-01-01T00:00+01:00;2020;Gjennomsnitt (enhet = dogn);4079;4029;4129;80,1;366;293;73;2;100;1;3355;723;214;251;35;222;222;0
42954V320585;Grinde nord;EV39 S91D1 m2970;2020-01-01T00:00+01:00;2021-01-01T00:00+01:00;2020;Gjennomsnitt (enhet = dogn);4067;4001;4133;77,9;366;285;81;2;100;2;3354;711;201;251;33;226;226;0
42954V320585;Grinde nord;EV39 S91D1 m2970;2020-01-01T00:00+01:00;2021-01-01T00:00+01:00;2020;Gjennomsnitt (enhet = dogn);4086;4036;4136;80,1;366;293;73;2;100;Totalt i retning Aksdal;3358;726;214;252;36;223;223;0
