Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Fra tidspunkt;Til tidspunkt;Felt;Trafikkmengde;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
65533V319820;Karmsundgata;FV47 S1D1 m3247;2024-08-01T00:00+02:00;2024-08-01T01:00+02:00;2024-08-01;00:00;01:00;1;65;100,0;1;1;0;0;100,00;60;5;5;0;0;0;0;0
65533V319820;Karmsundgata;FV47 S1D1 m3247;2024-08-01T00:00+02:00;2024-08-01T01:00+02:00;2024-08-01;00:00;01:00;2;50;100,0;1;1;0;1;98,00;44;5;2;1;1;1;1;0
65533V319820;Karmsundgata;FV47 S1D1 m3247;2024-08-01T00:00+02:00;2024-08-01T01:00+02:00;2024-08-01;00:00;01:00;Totalt i retning Haugesund S X E134;50;100,0;1;1;0;1;98,00;44;5;2;1;1;1;1;0
65533V319820;Karmsundgata;FV47 S1D1 m3247;2024-08-01T00:00+02:00;2024-08-01T01:00+02:00;2024-08-01;00:00;01:00;Totalt i retning Våga/Hordaland gr.;65;100,0;1;1;0;0;100,00;60;5;5;0;0;0;0;0
65533V319820;Karmsundgata;FV47 S1D1 m3247;2024-08-01T00:00+02:00;2024-08-01T01:00+02:00;2024-08-01;00:00;01:00;Totalt;115;100,0;1;1;0;1;99,13;104;10;7;1;1;1;1;0
65533V319820;Karmsundgata;FV47 S1D1 m3247;2024-08-01T01:00+02:00;2024-08-01T02:00+02:00;2024-08-01;01:00;02:00;1;35;100,0;1;1;0;1;97,14;30;4;2;2;0;0;0;0
65533V319820;Karmsundgata;FV47 S1D1 m3247;2024-08-01T01:00+02:00;2024-08-01T02:00+02:00;2024-08-01;01:00;02:00;2;29;100,0;1;1;0;0;100,00;28;1;0;0;1;0;0;0
65533V319820;Karmsundgata;FV47 S1D1 m3247;2024-08-01T01:00+02:00;2024-08-01T02:00+02:00;2024-08-01;01:00;02:00;Totalt i retning Haugesund S X E134;29;100,0;1;1;0;0;100,00;28;1;0;0;1;0;0;0
65533V319820;Karmsundgata;FV47 S1D1 m3247;2024-08-01T01:00+02:00;2024-08-01T02:00+02:00;2024-08-01;01:00;02:00;Totalt i retning Våga/Hordaland gr.;35;100,0;1;1;0;1;97,14;30;4;2;2;0;0;0;0
65533V319820;Karmsundgata;FV47 S1D1 m3247;2024-08-01T01:00+02:00;2024-08-01T02:00+02:00;2024-08-01;01:00;02:00;Totalt;64;100,0;1;1;0;1;98,44;58;5;2;2;1;0;0;0
