Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;ar;Beregningsmetode;Trafikkmengde;Konfidensintervall start;Konfidensintervall slutt;Dekningsgrad (%);Antall enheter total;Antall enheter inkludert;Antall enheter ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);Felt;< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
25694V2370584;Karmoytunnelen Hellevik;FV554 S1D1 m634;2014-01-01T00:00+01:00;2015-01-01T00:00+01:00;2014;Basiskurve (enhet = timer);119;-;-;-;-;-;-;-;-;1;114;5;2;2;0;0;-;-
25694V2370584;Karmoytunnelen Hellevik;FV554 S1D1 m634;2014-01-01T00:00+01:00;2015-01-01T00:00+01:00;2014;Basiskurve (enhet = timer);1923;-;-;-;-;-;-;-;-;2;1760;163;55;61;11;36;-;-
25694V2370584;Karmoytunnelen Hellevik;FV554 S1D1 m634;2014-01-01T00:00+01:00;2015-01-01T00:00+01:00;2014;Basiskurve (enhet = timer);1879;-;-;-;-;-;-;-;-;3;1706;173;57;68;12;36;-;-
25694V2370584;Karmoytunnelen Hellevik;FV554 S1D1 m634;2014-01-01T00:00+01:00;2015-01-01T00:00+01:00;2014;Basiskurve (enhet = timer);1923;-;-;-;-;-;-;-;-;Totalt i retning Karmoy;1760;163;55;61;11;36;-;-
25694V2370584;Karmoytunnelen Hellevik;FV554 S1D1 m634;2014-01-01T00:00+01:00;2015-01-01T00:00+01:00;2014;Basiskurve (enhet = timer);1998;-;-;-;-;-;-;-;-;Totalt i retning Raglamyr;1820;178;60;70;13;36;-;-
25694V2370584;Karmoytunnelen Hellevik;FV554 S1D1 m634;2014-01-01T00:00+01:00;2015-01-01T00:00+01:00;2014;Basiskurve (enhet = timer);3921;-;-;-;-;-;-;-;-;Totalt;3580;341;115;131;23;72;-;-
25694V2370584;Karmoytunnelen Hellevik;FV554 S1D1 m634;2015-01-01T00:00+01:00;2016-01-01T00:00+01:00;2015;Basiskurve (enhet = timer);119;-;-;-;-;-;-;-;-;1;114;5;2;2;0;0;-;-
25694V2370584;Karmoytunnelen Hellevik;FV554 S1D1 m634;2015-01-01T00:00+01:00;2016-01-01T00:00+01:00;2015;Basiskurve (enhet = timer);2085;-;-;-;-;-;-;-;-;2;1887;197;60;78;12;47;-;-
25694V2370584;Karmoytunnelen Hellevik;FV554 S1D1 m634;2015-01-01T00:00+01:00;2016-01-01T00:00+01:00;2015;Basiskurve (enhet = timer);1973;-;-;-;-;-;-;-;-;3;1770;203;59;80;14;50;-;-
25694V2370584;Karmoytunnelen Hellevik;FV554 S1D1 m634;2015-01-01T00:00+01:00;2016-01-01T00:00+01:00;2015;Basiskurve (enhet = timer);2085;-;-;-;-;-;-;-;-;Totalt i retning Karmoy;1887;197;60;78;12;47;-;-
25694V2370584;Karmoytunnelen Hellevik;FV554 S1D1 m634;2015-01-01T00:00+01:00;2016-01-01T00:00+01:00;2015;Basiskurve (enhet = timer);2092;-;-;-;-;-;-;-;-;Totalt i retning Raglamyr;1884;208;62;82;14;50;-;-
25694V2370584;Karmoytunnelen Hellevik;FV554 S1D1 m634;2015-01-01T00:00+01:00;2016-01-01T00:00+01:00;2015;Basiskurve (enhet = timer);4177;-;-;-;-;-;-;-;-;Totalt;3772;405;121;159;27;98;-;-
25694V2370584;Karmoytunnelen Hellevik;FV554 S1D1 m634;2016-01-01T00:00+01:00;2017-01-01T00:00+01:00;2016;Basiskurve (enhet = timer);147;-;-;-;-;-;-;-;-;1;142;5;3;2;0;0;-;-
25694V2370584;Karmoytunnelen Hellevik;FV554 S1D1 m634;2016-01-01T00:00+01:00;2017-01-01T00:00+01:00;2016;Basiskurve (enhet = timer);2306;-;-;-;-;-;-;-;-;2;2118;188;67;75;13;34;-;-
25694V2370584;Karmoytunnelen Hellevik;FV554 S1D1 m634;2016-01-01T00:00+01:00;2017-01-01T00:00+01:00;2016;Basiskurve (enhet = timer);2160;-;-;-;-;-;-;-;-;3;1967;193;69;75;14;35;-;-
25694V2370584;Karmoytunnelen Hellevik;FV554 S1D1 m634;2016-01-01T00:00+01:00;2017-01-01T00:00+01:00;2016;Basiskurve (enhet = timer);2306;-;-;-;-;-;-;-;-;Totalt i retning Karmoy;2118;188;67;75;13;34;-;-
25694V2370584;Karmoytunnelen Hellevik;FV554 S1D1 m634;2016-01-01T00:00+01:00;2017-01-01T00:00+01:00;2016;Basiskurve (enhet = timer);2307;-;-;-;-;-;-;-;-;Totalt i retning Raglamyr;2109;198;72;77;15;35;-;-
25694V2370584;Karmoytunnelen Hellevik;FV554 S1D1 m634;2016-01-01T00:00+01:00;2017-01-01T00:00+01:00;2016;Basiskurve (enhet = timer);4614;-;-;-;-;-;-;-;-;Totalt;4227;387;139;152;28;69;-;-
25694V2370584;Karmoytunnelen Hellevik;FV554 S1D1 m634;2017-01-01T00:00+01:00;2018-01-01T00:00+01:00;2017;Basiskurve (enhet = timer);128;-;-;-;-;-;-;-;-;1;124;5;2;2;0;0;-;-
25694V2370584;Karmoytunnelen Hellevik;FV554 S1D1 m634;2017-01-01T00:00+01:00;2018-01-01T00:00+01:00;2017;Basiskurve (enhet = timer);2258;-;-;-;-;-;-;-;-;2;2067;190;69;73;13;36;-;-
25694V2370584;Karmoytunnelen Hellevik;FV554 S1D1 m634;2017-01-01T00:00+01:00;2018-01-01T00:00+01:00;2017;Basiskurve (enhet = timer);2101;-;-;-;-;-;-;-;-;3;1905;197;72;74;15;35;-;-
25694V2370584;Karmoytunnelen Hellevik;FV554 S1D1 m634;2017-01-01T00:00+01:00;2018-01-01T00:00+01:00;2017;Basiskurve (enhet = timer);2258;-;-;-;-;-;-;-;-;Totalt i retning Karmoy;2067;190;69;73;13;36;-;-
25694V2370584;Karmoytunnelen Hellevik;FV554 S1D1 m634;2017-01-01T00:00+01:00;2018-01-01T00:00+01:00;2017;Basiskurve (enhet = timer);2230;-;-;-;-;-;-;-;-;Totalt i retning Raglamyr;2028;201;74;76;16;36;-;-
25694V2370584;Karmoytunnelen Hellevik;FV554 S1D1 m634;2017-01-01T00:00+01:00;2018-01-01T00:00+01:00;2017;Basiskurve (enhet = timer);4487;-;-;-;-;-;-;-;-;Totalt;4096;392;142;149;29;72;-;-
25694V2370584;Karmoytunnelen Hellevik;FV554 S1D1 m634;2018-01-01T00:00+01:00;2019-01-01T00:00+01:00;2018;Gjennomsnitt (enhet = dogn);158;157;159;99,7;365;364;1;0;100;1;153;5;3;2;0;0;0;0
25694V2370584;Karmoytunnelen Hellevik;FV554 S1D1 m634;2018-01-01T00:00+01:00;2019-01-01T00:00+01:00;2018;Gjennomsnitt (enhet = dogn);2356;2351;2361;99,7;365;364;1;0;100;2;2114;241;105;83;14;40;40;0
25694V2370584;Karmoytunnelen Hellevik;FV554 S1D1 m634;2018-01-01T00:00+01:00;2019-01-01T00:00+01:00;2018;Gjennomsnitt (enhet = dogn);2189;2185;2193;99,7;365;364;1;0;100;3;1944;245;104;85;16;40;40;0
25694V2370584;Karmoytunnelen Hellevik;FV554 S1D1 m634;2018-01-01T00:00+01:00;2019-01-01T00:00+01:00;2018;Gjennomsnitt (enhet = dogn);2356;2351;2361;99,7;365;364;1;0;100;Totalt i retning Karmoy;2114;241;105;84;14;40;40;0
25694V2370584;Karmoytunnelen Hellevik;FV554 S1D1 m634;2018-01-01T00:00+01:00;2019-01-01T00:00+01:00;2018;Gjennomsnitt (enhet = dogn);2347;2342;2352;99,7;365;364;1;0;100;Totalt i retning Raglamyr;2097;250;107;86;16;40;40;0
25694V2370584;Karmoytunnelen Hellevik;FV554 S1D1 m634;2018-01-01T00:00+01:00;2019-01-01T00:00+01:00;2018;Gjennomsnitt (enhet = dogn);4703;4694;4712;99,7;365;364;1;0;100;Totalt;4211;491;212;170;30;80;80;0
25694V2370584;Karmoytunnelen Hellevik;FV554 S1D1 m634;2019-01-01T00:00+01:00;2020-01-01T00:00+01:00;2019;Gjennomsnitt (enhet = dogn);140;140;140;100;365;365;0;0;100;1;135;4;3;1;0;0;0;0
25694V2370584;Karmoytunnelen Hellevik;FV554 S1D1 m634;2019-01-01T00:00+01:00;2020-01-01T00:00+01:00;2019;Gjennomsnitt (enhet = dogn);2210;2210;2210;100;365;365;0;0;100;2;1977;233;93;85;13;42;42;0
25694V2370584;Karmoytunnelen Hellevik;FV554 S1D1 m634;2019-01-01T00:00+01:00;2020-01-01T00:00+01:00;2019;Gjennomsnitt (enhet = dogn);2062;2062;2062;100;365;365;0;0;100;3;1825;237;93;86;16;42;42;0
25694V2370584;Karmoytunnelen Hellevik;FV554 S1D1 m634;2019-01-01T00:00+01:00;2020-01-01T00:00+01:00;2019;Gjennomsnitt (enhet = dogn);2210;2210;2210;100;365;365;0;0;100;Totalt i retning Karmoy;1977;233;93;85;13;42;42;0
25694V2370584;Karmoytunnelen Hellevik;FV554 S1D1 m634;2019-01-01T00:00+01:00;2020-01-01T00:00+01:00;2019;Gjennomsnitt (enhet = dogn);2201;2201;2201;100;365;365;0;0;100;Totalt i retning Raglamyr;1960;241;95;88;16;42;42;0
25694V2370584;Karmoytunnelen Hellevik;FV554 S1D1 m634;2019-01-01T00:00+01:00;2020-01-01T00:00+01:00;2019;Gjennomsnitt (enhet = dogn);4412;4412;4412;100;365;365;0;1;100;Totalt;3937;474;188;173;30;84;84;0
25694V2370584;Karmoytunnelen Hellevik;FV554 S1D1 m634;2020-01-01T00:00+01:00;2021-01-01T00:00+01:00;2020;Gjennomsnitt (enhet = dogn);131;131;131;100;366;366;0;0;100;1;127;5;2;2;0;0;0;0
25694V2370584;Karmoytunnelen Hellevik;FV554 S1D1 m634;2020-01-01T00:00+01:00;2021-01-01T00:00+01:00;2020;Gjennomsnitt (enhet = dogn);2105;2105;2105;100;366;366;0;0;100;2;1862;243;90;88;15;50;50;0
25694V2370584;Karmoytunnelen Hellevik;FV554 S1D1 m634;2020-01-01T00:00+01:00;2021-01-01T00:00+01:00;2020;Gjennomsnitt (enhet = dogn);1953;1953;1953;100;366;366;0;0;100;3;1711;242;89;90;15;47;47;0
25694V2370584;Karmoytunnelen Hellevik;FV554 S1D1 m634;2020-01-01T00:00+01:00;2021-01-01T00:00+01:00;2020;Gjennomsnitt (enhet = dogn);2106;2106;2106;100;366;366;0;0;100;Totalt i retning Karmoy;1863;243;90;88;15;50;50;0
